id;id_prov;nama_kota;kode_kota;created_at;updated_at
65;3;KABUPATEN PASAMAN;1309;2021-04-03 15:55:09;2021-04-03 15:55:09
66;3;KABUPATEN SOLOK SELATAN;1310;2021-04-03 15:55:09;2021-04-03 15:55:09
67;3;KABUPATEN DHARMASRAYA;1311;2021-04-03 15:55:09;2021-04-03 15:55:09
68;3;KABUPATEN PASAMAN BARAT;1312;2021-04-03 15:55:09;2021-04-03 15:55:09
69;3;KOTA PADANG;1371;2021-04-03 15:55:09;2021-04-03 15:55:09
70;3;KOTA SOLOK;1372;2021-04-03 15:55:09;2021-04-03 15:55:09
71;3;KOTA SAWAH LUNTO;1373;2021-04-03 15:55:09;2021-04-03 15:55:09
72;3;KOTA PADANG PANJANG;1374;2021-04-03 15:55:09;2021-04-03 15:55:09
73;3;KOTA BUKITTINGGI;1375;2021-04-03 15:55:09;2021-04-03 15:55:09
74;3;KOTA PAYAKUMBUH;1376;2021-04-03 15:55:09;2021-04-03 15:55:09
75;3;KOTA PARIAMAN;1377;2021-04-03 15:55:09;2021-04-03 15:55:09
76;4;KABUPATEN KUANTAN SINGINGI;1401;2021-04-03 15:55:09;2021-04-03 15:55:09
77;4;KABUPATEN INDRAGIRI HULU;1402;2021-04-03 15:55:09;2021-04-03 15:55:09
78;4;KABUPATEN INDRAGIRI HILIR;1403;2021-04-03 15:55:09;2021-04-03 15:55:09
79;4;KABUPATEN PELALAWAN;1404;2021-04-03 15:55:09;2021-04-03 15:55:09
80;4;KABUPATEN SIAK;1405;2021-04-03 15:55:09;2021-04-03 15:55:09
81;4;KABUPATEN KAMPAR;1406;2021-04-03 15:55:09;2021-04-03 15:55:09
82;4;KABUPATEN ROKAN HULU;1407;2021-04-03 15:55:09;2021-04-03 15:55:09
83;4;KABUPATEN BENGKALIS;1408;2021-04-03 15:55:09;2021-04-03 15:55:09
84;4;KABUPATEN ROKAN HILIR;1409;2021-04-03 15:55:09;2021-04-03 15:55:09
85;4;KABUPATEN KEPULAUAN MERANTI;1410;2021-04-03 15:55:09;2021-04-03 15:55:09
86;4;KOTA PEKANBARU;1471;2021-04-03 15:55:09;2021-04-03 15:55:09
87;4;KOTA DUMAI;1473;2021-04-03 15:55:09;2021-04-03 15:55:09
88;5;KABUPATEN KERINCI;1501;2021-04-03 15:55:09;2021-04-03 15:55:09
